signevent,q1,q2,unid,id,outcome_class
It's Grandma's birthday on Tuesday - she's 95 and bright as a button. She wants to go out to celebrate.,We're going out for coffee to the local Garden Centre - no doubt she'll buy a new plant and I'll spend the rest of Tuesday gardening!,I'm off to Paris this afternoon for a long weekend - I was going for longer but I'm coming home on Monday to see Grandma on her birthday.,Yz740416,1258,d
I am going to an evening wedding party for my friend at 6:30pm.,"On Saturday, I will head over to the Glasgow Central Hotel around 6:30pm in the new suit I just bought to attend my friend's wedding reception party. We met during my Master's degree and I've hung out with her and her new husband many times before - a lot of old uni pals will be there so it will be great to catch up. I'll probably have some wine first tho - it's an expensive venue and they're not having a free bar!","Well, I've given the venue (and city), whose wedding I am attending, how I know them, my pre-party plans etc. I can even say (and they'd kill me if they knew this) that I've come up with a back-up plan to sneak off to visit my pal Mark and his friend who is visiting from Canada at a nearby venue (Cathouse) if the wedding reception party is a bit boring.",xB473703,1259,d
Going to my mother's for Sunday lunch,"My wife, daughter and I are going to my mother's for Sunday lunch. We will be driving round to her house as it is meant to rain, and will stay there to watch the football afterwards. We are bringing round dessert as my mother is making the main meal.","We are going to the shops today to buy dessert to take round, and have just spoken to my mother this morning to discuss what she will be making for lunch (roast chicken)",DH914494,1260,d
I am going to visit my nan and bring her lunch next Tuesday. I have been on holiday & am visiting to tell her about it ,"I've been on holiday visiting my long distance fiancé in New York for the last 3 weeks and have arrived home this week. I'm visiting my nan next week on Tuesday and bringing her some lunch and cake. I like to regularly visit and am very close to her, I'm excited to tell her about everything I did while I was away, show her photos etc and also give her some gifts I brought back.  ","As I stated previously I am very close to her, and looking forward to our afternoon together. I am going to make a cake ready for the visit on Monday, and pick up something for lunch on the way, not sure what yet. I have been on holiday for a few weeks, so have a lot to catch her up about (visited washington dc while I was there, 4th july fireworks, went to the beach and spent time with my fiancé's family)",DY298839,1261,d
I will be taking my boyfriend to Paris for our anniversary,On Saturday morning we are travelling to St Pancras in London where we are then getting the Eurostar to Paris. Once in Paris we will go to our hotel called the Sublim Eiffel to check in. I have arranged for a bottle of sparkling wine to be placed in the room. On the first day we are going to visit the Eiffel Tower and I have booked us into the restaurant up the tower for dinner. On Sunday we’ll be going shopping and will visit the sites near to the Arc De Triomphe. Monday’s plans will be to go to the Louvre museum and spend some time walking and taking in the sites. ,"Saturday our Eurostar train leaves St Pancras at 07:31 hours and arrives at 10:47 in Paris. 
Paris is a romantic destination therefore is the perfect place to celebrate our anniversary.
I have done a lot of research into the trip to make sure we see all the sights Paris has to offer.
Our hotel (Sublim Eiffel) is right outside a metro station for ease of transport getting around the city.
Our hotel is around halfway between the Eiffel Tower and the Montparnasse Tower ",ti320719,1262,d
Cycle 6 miles daily as part of fitness programme,Each morning at 9am i will cycle for 6 miles. I have a planned route which will involve cycling around my local park for 2 laps.,My local park will help me reach my goal of cycling 6 miles a day. I have decided to do this as friends of mine have completed this challenge and the results are amazing,Hj260601,1263,d
I am playing 5 aside football,I am playing 5 aside football on Sunday. I play in the County League for Barton Rovers. We are currently top of the league and if we win the next 2 games will secure the top spot and win the cup. We have been fortunate with our players this year in that we have been injury free and also have a good reserve squad. This week's match is at Flitwick LC and we are playing Stotfold Academical. They are our main rivals and are one place below us in the League table. If they beat us this week it will down to wire!,I have played for the team for the past three years and play on the right wing. My job is to serve the striker as well as make my own play.,Rp038065,1264,d
I have planned to go camping on Saturday with my mate so we can test a new tent before going on a camping holiday,One of my friends wants to go to a festival with me and we needed to buy a tent so we could camp there. We are planning to give the new tent a test run this Saturday to check it will be suitable by camping in his back garden.,My friend bought the tent last weekend from Argos and we are both looking forward to having fun at the festival next month.,LR297934,1265,d
playing Pokemon Go with my mother for Zapdos day,"My mom and I plan on driving out of town to Chicago for Pokemon Go's Zapdos day, since there's more available Pokemon and Pokestops there than where we live. We both plan on playing it since I finally got her into Pokemon a few months ago,  and we're probably going to stay there until around dinnertime before heading home. Other than acquiring a Zapdos, my main goal for Zapdos day is to complete the last few missing entries of my Pokedex and hatch a few eggs.","I am a Team Mystic member and my mom is a member of Team Valor. I've been playing Pokemon Go since it launched over a year ago and crashed constantly, although I stopped playing for a while and just picked it back up last school year because it was popular on my college campus. Also, this isn't the first Pokemon Go event we've played together, as we also played together on Pokemon Go Community Day.",mC570082,1266,d
I will be getting donuts from my favorite cafe with my partner Liam.,"This Saturday I am going to my absolute favorite cafe called Sandra's on the Corner to get some super yummy donuts with my partner Liam. He and I have been together for five years now, and it's pretty much a bi-weekly tradition that we go here to get some donuts. This cafe has the most unique flavors I've ever encountered like PB&J and lavender lemon. ",I can tell you where exactly this cafe is located. It's on 225 Wicker Street in SC. ,Nq536981,1267,d
I'm going fishing with my friend Mike. ,"I've made arrangements to go fishing with my friend Mike. We're going out to the lake near where he lives. He's been having a tough time at work recently and I'm hoping that a few hours of fishing and chatting will help to lift his spirits. I don't expect to catch anything, I'm rubbish at fishing, but Mike is really good. ","As I said in my last answer the fishing trip has already been planned. We meet up from time to time anyway but this trip was planned specifically because Mike is having a hard time at the minute and, as his friend, I want to try and cheer him up but also to give him time to talk if that's what he wants. That's why we're going fishing and not to a noisy bar. ",Cx457651,1268,d
Going to a comedy festival with my friend matt,"I managed to get tickets to the derby comedy festival, I'm going with my mate matt, we'll drive up to derby and spend the weekend there","I have the tickets, the festival is in derby, during the last weekend of july. We got the tickets through work as part of the holiday scheme, where everyone pays a small part of the wages, and then holiday destinations / tickets can be bought cheaper in bulk",kq051332,1269,d
Watching TV and drinking wine with my brother Gary,Gary will come over around 7pm after my daughter has gone to bed. We'll open a bottle of Rioja and check out the new series of Orange is the New Black. He'll forget who everyone is since he pays more attention to his phone. We'll probably get some Thai food.,Why would I lie? I'm very much looking forward to Orange is the New Black (what a cliffhanger!) and you can see all the bottles of Rioja in my wine rack.,LW970746,1270,d
Going for drinks after work,Going to go out after work on Friday with girls from work for a drink to the local pub nellys then maybe move on somewhere else,The pub is called nellys and I'm going wroth Joan bev and tracy after we finish work at 5.15pm,nI188013,1271,d
Going to a friend's house for summer pool party.,"My friends recently bought a new house with a pool, and for their house warming they're throwing a summer pool party. We are aiming to get to their house at around 12:30pm for a barbecue lunch and our friend Dan's famous slow cooked pork belly. We'll probably stay into the evening and have a few drinks around the pool, heading home to give our kids a bath and start their bed time routine.","Our friends invited our usual friend group around via a facebook event invitation, which is how we all usually organise these sorts of things. We're aiming to get there around 12:30, we have two kids under 3 so we need to be pretty organised to get anywhere on time. Our friends are providing meat for a barbecue, and asked us to BYO drinks. I'm making a potato salad to take, I like to make mine using wholegrain mustard. We live about an hour away from our friends house (this is a pretty big city) so we will use about a quarter of a tank of fuel to drive there and back. We don't really exchange gifts in our friendship group so we haven't bought a gift.",fl076803,1272,d
The activity was to lie about my sister and her family visiting me.,"This coming week I am off on vacation as my sister is coming visit me.  I haven't seen her in eight years.  She did visit my brother who lives about five hours away about four years ago, but, I was unable to hook up with","It is what the survey asked for and my sister lives over 2,000 miles away from me.  It is highly unlikely she and her family would just show up unannounced.",jz237226,1273,d
Drinking wine and watching TV on Friday with my brother Gary,Going to my Brother's flat to finish watching Man in The High Castle this Friday. A couple of drinks and hopefully some decent weather.,"My Brother lives next to my old primary school on Wyvern Avenue, we are both fans of the series we are watching and he's just got a new 4k curved TV. I'm just going to bring some cheap wine, snacks and a bag of cans so we can chill out.",Vx337510,1274,d
loading up the car and taking my family to the malvern hills,I will be taking my family (wife and two kids) away for a summer holiday break in the malvern hill,"we are leaving on saturday, spending 4 nights camping and plan to spend our time hiking in the sun",NX861272,1275,d
Taking my daughter to the hospital for surgery,"My daughter, 7 years old, stuck her finger in a hot apple pie. She got a bad burn on her finger which the local doctor said needed specialist care. So I had to take her to hospital",I have an apple tree and I love baking. My daughter is 8 years old and very mischievous. She doesn't do as she's told. So she suffered third degree burns to her finger. The hospital will have to access her for skin grafts.,BP924020,1276,d
I am going to be travelling to York with my friend Richard ,I am going to be travelling by train to visit somewhere in York with my friend Richard ,I will be visiting the old Terry's chocolate orange factory which has now been turned in to apartments ,SZ476821,1277,d
I'm going to buy donuts at our favourite local cafe by the seaside with my partner Liam,I live with my partner Liam and down the road is a lovely welcoming cafe that sells the most gorgeous tasting freshly cooked doughnuts that we can seat outside and eat while enjoying the sea view,"The doughnuts are filled with strawberry jam and freshly made at the cafe, they are still warm when we sit and eat them outside the cafe",XT507788,1278,d
"On Saturday my friend Richard and I will visit York, we're getting there at 11:30 and aiming to return home around 20:00","My friend Richard and I have decided to take a day trip to York on Saturday. We're thinking if get in about 11:30 and aim to leave at 8 that will give us enough time to see a lot of the city. We're going for lunch when we get in, I've heard a popular vegetarian restaurant El Piano is due to close soon so we're going to check that out. Then we're going for a wander - if it's sunny we'll walk the city walls as that's an easy way to take in the sights. We'll be drinking after that though - York has enough bars and pubs to visit a new one every day of the year! We'll probably start on Stonegate, at Evil Eye, as they do amazing cocktails. Then it's just a case of seeing where we fancy - there's no point going with much of a plan as York is very popular for Hen and Stag Do's, so it could be really busy. If we head home about 8 we think we can miss the Saturday night rush at least, and hopefully avoid much of a hangover the next day! ",We've booked the 10 o'clock train from Manchester Piccadilly -  we made sure not to book one which went to the coast as it's meant to be sunny and we don't want to have to fight to get on! ,uh542648,1279,d
"The only leisurely activity I have planned is to visit friends later in the week, play games and stuff","We will meet up probably at Shane's to play games and chat.  We haven't decided where yet but it is most often Shane's because he's got the biggest table and his parents aren't annoying. We play Munchkin, the card game which I win every time. Its a bit geeky but its a cheap way to get everyone together.","I could give you a game and prove I'm good at it so must play often haha. Or I could screenshot the group chat we are in on whatsapp where we've spoken to arrange it. Other than that, an invite?",Kk227020,1280,d
I'm going to Antique group weekend.,I found out about it in the online forum. I have already arranged the travel arrangements. Saturday morning I need to catch an early train to be there about 11. I am taking my family with me but they are not interested in the antiques as much as me. They will help me though to hunt for a hidden treasures. I love the history behind the objects and to be honest I couln't wait for this trip for a while now.,"I can give you the train time and details of all the arrangements I prepared, including the hotel name I'm staying in. ",wo508410,1281,d
Going to the Dr. to get my drains out,"Next week, I plan on spending my leisure time FINALLY getting my drains out. They itch like crazy right now. I thought, going in, that they were just going to do my top surgery, bandage me up, and then I'd go in for a couple follow-up check-ups to make sure things were healing alright. But no, I should have known better. Of course with an incision big enough to remove my entire breast on either side, there's going to be some fluid build-up while it's healing. That said, it is definitely not a comfortable thing. 
Right now, I have clear tubing coming from either incision. The tubing leads to these pod-shaped 'bottles' that collect all of the gross fluids from my surgery recovery. I've been using a stretchy ace bandage around my midsection to tuck the drainage containers into so they don't interfere with things. But, despite my best efforts, they still manage to slip around and get loose or shift and dig into my rib-cage. 
Finally, FINALLY, I get to get these things taken out. No more stinging when the tubes get pulled on, no more itching bandaging, no more nausea-inducing emptying of who-knows-what down the sink at the end of every day. All I have to do is show up at the clinic, go back to the office, lay down on the bed, and get this final weight (literally and metaphorically) off/out of my chest. ","While I have a different general physician for other unrelated issues, I spent a long time deciding on which surgeon to see for my mastectomy/top surgery. After a lot of research, I decided on Dr. Kimberly Vanderveen in Denver Colorado. I met with her multiple times before the procedure. During these meetings she explained to me exactly what she'd be doing while I was under the anesthesia. She made sure that I knew this would be an irreversible process, and that if I ever decided I wanted my breasts 'back', the only option would be implants. She also let me know that no surgery is perfect - there would be scarring afterwards that would probably never completely fade, and while she would do her best to make sure everything lined up correctly, mistakes happen. By the time I walked out of her office for the last time before going in to get the surgery done, I felt super comfortable with the whole thing. I've been waiting for this for YEARS now - I was so excited the night before my appointment that I barely slept. 
My appointment next week is on Wednesday at 11:00am at my clinic in town. I won't be seeing the same surgeon, obviously, but I've spoken to her on the phone. This is not the first time I've gone in to get my drains out - the first two times they sent me home saying that there was still too much fluid build-up under the skin for it to be safe to remove them. It's going to be so nice to have my freedom back again, even if there are still some bandages left over. ",Du717980,1282,d
"playing heroes of the steorm, a video game that is a multiplayer online battle arena",its an online game where i play a character in a game and i play against other people online. the aim of the game is for me to kill everyone else and for me to be the last man standing,I have ps4 e receipts where i have purchased in game add ons to the game,OA228229,1283,d
A family trip to the Malvern hills ,"We are leaving on Saturday morning about 6 because it’s a long way from our house. My wife has already packed the car up, although we aren’t leaving till tomorrow. ",I have family there so it will be nice for them to meet our new baby. ,LK378583,1284,d
Watching the final round of the British Open golf!,"I've finally got the ability to watch what was stolen from the BBC over the last few years, and for once I can use NBC and watch the British Open golf.  To celebrate that fact I will be nailed to the sofa to watch the footage from beginning to the bitter end.  And I can't wait!",Er - I could regale you with stats about what's already happened and what might happen but we'd both be here until next year's tournament.  You'll just have to trust me.,SS497749,1285,d
I am going to London to have drinks with an ex-colleague.,"On Tuesday, I am getting the train down to London to have drinks with an ex-colleague. I am a teacher, so my summer holidays start today. Whilst I wait for my partner to get her summer holiday, I thought I'd treat myself to a trip to London - especially when an ex-colleague (an old friend) said she'd be there.",I can show you my train ticket and you can ask the friend I'm meeting up with.,te802920,1286,d
Attending a beer festival with family and friends,On Saturday I am going to a beer festival in Hereford with my sister and a group of our friends. It's on the side of the river and the weather is looking like it's going to be sunny so I really can't wait!,I could give you the contact details of the friends I am going with so that you could check with them? Or perhaps the address of where the beer festival is held. You could also Google it - it is an event that takes place every year,lc390506,1287,d
On saturday I am going to Mendon Ponds park with my friend Peter to ride horses. ,I am meeting up with my friend Peter on Saturday to go horseback riding. They have beautiful trails to explore and the weather is supposed to be great.,"We are meeting up at 10am and going to the stable, from their we will saddle up and explore a beautiful trail that runs between the ponds, we might stop for a packed lunch around noon and continue our trail.",Bx430899,1288,d
"Going camping at the weekend to try out the new tent we have bought, before our proper camping holiday next month","We have bought a new tent to go camping with, but we need to test it out first to see if it suitable to use. We know a great camp site not an hrs drive from out house, so thought we would go there this weekend to test out the tent in preparation for our main camping holiday next month","Our last tent, which we thought was ok, ended up having a huge tear in the side, which leaks, and that is the last thing you want when you go camping. As we have been stung by that, we have decided to test out this new tent, even though it is a new one, you can never be too sure when dealing with the great outdoors! :)",XD385783,1289,d
"going to York with my friend Richard, leaving 11:30am aiming to be back at 11pm","we will be going by train from Birmingham. We plan to do some sight seeing and have lunch out, maybe some drinks during the day and then head back home.  Hope the weather is nice!","I have my train tickets ready, do you know anywhere of interest that I could visit in York?",Di358265,1290,d
I am going fishing with my friend Mike,My friend Mike is going to pick me up at 7am tomorrow morning so that we can drive to Himley pools for a day and night of fishing and laughing together,"Himley pools are part of the himley estate of the Earl of Dudley and the fishing pools contain Tench, Perch and Bream. There is a £10 fee for a full 24 hours fishing per person.",zp042667,1291,d
Picking gooseberries with my daughter,I’m going to pick gooseberries at my local farm with my daughter Sarah. We’ve been before and the fruits are plentiful and delicious.,I have some great gooseberry recipes and Sarah is an excellent cook. She looks to try new recipes in our kitchen. Her teacher at school is very impressed. ,kg753148,1292,d
I am going to lunch with my brother to celebrate his birthday,"My brother is turning 40 this year and so we are having a family lunch to celebrate at his favourite restaurant. There will be me, my daughter, both my sisters, one brother - in - law, my brother and his wife. Its not very often we all manage to get together as we are spread out over the country, the last time was my 40th a couple of years ago so we are all looking forward to it. It will be fun, and will more than likely roll over into dinner too :-) ","Not sure what to put here, My brother turns 40 on the 24th July, he is the youngest of 4, my sisters are 49, 46 and I am 43. We don't manage to get together very often due to distance and all our jobs so we have planned this and we'll do it again for my eldest sister's 50th next year! ",DA301763,1293,d
I am going to celebrate the engagement of Ben & Gemma. ,"So my best friend that I met in college, Ben, recently texted me to invite me to an engagement celebration he's having with Gemma. I actually met Gemma a good number of times, I am rather excited for them. Ben's always been a good guy, and I'd honestly be excited to have him as a best man one day. I am happy to be able to celebrate with them. ","If you want, I can show you the text message I got inviting me to the engagement celebration. He's been my best friend since college. ",fk163859,1294,d
Sunday lunch with my mother,On Sunday my mother has invited me to Sunday lunch at her house. She has all the trimmings!,It is a regular meal that we have each week. All of the family come together for the week.,NN000495,1295,d
going blueberry picking with my daughter,"I will take my daughter to the local farm, in which they offer blueberry  picking as an activity. It is £3 to participate but you can pick as many blueberries as you can carry! It is a fun activity for the two of us!","I can tell you that my daughters name is Amelia and she is six years old, she is a lover of going outdoors and we often enjoy long walks and trips to the farm. We have recently got into blueberry picking because the farm is local to us and is a great way to get outside!#",lr447494,1296,d
"On Zapdos day, I am going to play pokemon-go together with my mother Rachel","After meeting a friend, I am going to my mothers place. We plan to have a coffee first and then play pokemon-go. We actually tried it once a few weeks ago, yet, my mother didn't really get it. I sent her some links about how to manage the app and now I am hoping that she will be ready for it. It is going to be difficult nevertheless because she always gets really angry when the things do not work out as she plans / think they'll work. Yet, we won't stay for long at her place and plan to go outside to search for pokemons. I think we will also fight at some point, when I am not in the mood anymore, because my mother - when she is exited about something, appears to be unable to stop. She is already texting me all day long and stresses how exited she already is.",I can show you the messages she already sent to me.,fD795094,1297,d
Visiting the sculpture workshop in Edinburgh to take a look at an installation,We will be travelling up to Edinburgh on the train on Wednesday. I'm excited because we're travelling first class and this is only my second ever trip to Edinburgh. On Thursday we're going to the Sculpture Workshop because there's an installation there that everyone has been raving about in my Art & Sculpture Facebook Group. Two other members of the group are visiting on the same day and we're excited to meet up to share our thoughts on the visit.,"We are getting the 10.42am Virgin train service from Coventry to Preston (First Class seats reserved), followed by the 1.03pm Trans Pennine Express service to Edinburgh. We're staying overnight at the Village Hotel Edinburgh, then meeting up with our Facebook Group friends Sarah and Todd to visit an exclusive preview of the Hemispheric Phases exhibition before it opens to the general public on Saturday.",Il093344,1298,d
Listen to the Michael Jackson discography ,Over the next week I plan to listen to the complete Michael Jackson discography. I love Michael so much and his music inspired me and so many things in my life. Chamon.,I first fell in love with Michael Jackson hearing blackbir white. I remember seeing Macaulay Culkin in the video. It was the first song that made me really think of Michael Jackson as a black man trapped in a white mans appearance. It made me think of all the other meanings in his songs. Plus they got a kick ass beat!,zc252259,1299,d
Going on a llama walk on sat followed by sparkling afternoin tea,"It is a new concept to keep people in touch with real animals as well as raising money for the local hospice. Basically anyone can be sponsered to walk a llama, it is also good for the animals as they get to walk in different areas and stops them becoming depressed which is a real worry about keepinf llamas in captivity",It it to raise money for a local hospice and to stop the llamas getting depressed. The aftwrnoon tea is sort of a pat on the back for everyone involved as well as a chance to see how much has been raised for the hospice. If it all goes well it will be done once a month. With different groups from the town. As all the money raised goes to the local hospice. Everyone will benefit.,ZB495406,1300,d
"I am going with my family to the Malvern hills, we are going to pack up the car and take in the wonderful sights! ","Myself, my husband and my 2 children are going to pack up the car with picnic supplies and our 2 year old puppy and go on a visit to the malvern hills, we are really looking forward to seeing the wonderful sights.","i used to go and visit the malvern hills with my family when i was a child, the beauty  is incredible, i cant wait to share this experience with my family. ",vX153838,1301,d
Fixing my truck engine with my Dad.,"My truck has been making some strange noises lately and recently stopped altogether. The battery and everything seemed fine. I had my recovery company get the truck back to my house. My Dad, who know a lot more about engines than me discovered the drive belt had snapped.","The drive belt in my truck snapped, I was rather lucky it didn't entirely break the engine so now hopefully till will just be the task of replacing the drive belt, which my dad knows how to do and fingers crossed we'll be rolling again.",Bx025765,1302,d
"I will be taking a drive down the coast to get a tattoo, the parlour is over 100 miles away","I will be driving to get a tattoo alone, I’ve done the route many times but I’m going to be taking my husbands car which has been having a few problems, really hoping I don’t break down. I’m going to a tattoo shop that has been recommended by a friend, they have a huge waiting list so I’m so glad the appointment finally came through ","I’ve used google maps to plan my route, it’s going to take me 2 hours and 4 minutes hopefully ",eW922992,1303,d
I will be going to farmer Copley’s farm with my two boys Jacob and Elliot for the day to pick strawBerries,Once we are here we can go and pick our own strawberries and get a photo with the children’s faces behind giant strawberries ,Farmer Copley’s is on Pontefract Road in Pontefract West Yorkshire my boys will love it as they are 5 and 3 ,HK386776,1304,d
Going to Reading to perform a stage show with my friends. ,"For months myself and a few friends from Drama School have been creating a stage show. My friend Bethany, her father knows someone who has been arranging an event in Reading and has managed to get us a spot to perform our show in front of a crowd of 100's of people! I can't wait but the closer its getting the more nervous I am becoming.",Our stage show is called Why are you lying? There are 4 of us who have created it and we have enlisted an extra 15 people to help us act this out.,aN759460,1305,d
I am going to get a mini Mani pedi at my favorite Spa on Saturday.,I am going to my favorite Spa where I will have a pedi and Mani from my favorite technician. They always do such a great job on my feet and hands.,I have a appointment at 9am on Saturday at my favorite Spa with a specific technician named Sally.,iN790707,1306,d
Going for a 5 mile social run then having a barbecue with friends,"I will leave home just after 7am and meet up with my friends at 7.30am at our local running club in Bosham. After our warm up we will then proceed to the starting point next to Bosham railway station. The run starts at 8am and we will run from Bosham station to Chichester market cross, which is exactly 5 miles. As we are all good runners we should complete the run within 2 hours. Upon arriving in Chichester we will be picked up by our family to go home and change. Then all of us and our families will get together at my house from 3pm onwards for a barbecue. As we have the largest Barden it’s easy to accommodate all the families",That I know exactly how long 5 miles is. I have given specific locations and details about my home,ZX930458,1307,d
Going to an engagement party for my friend Gemma and her partner Ben.,"My friend is picking me up from home at around 7:30 I think, and we're going to have to drive over an hour to get to the party but I didn't really feel like I could say no. We're going to stay at Gemma's house after the party. It should be pretty fun but I think they're too young to be getting engaged personally.","The party starts at 6:30 but because my friend finishes work late and it takes us ages to get to Liverpool, we're going to be late.",Pi863470,1308,d
I am going to watch baseball with my family on Friday from 7pm to 10pm,I'm going to sit with my family on the sofa in our den and watch the baseball game on Friday at 7pm.  We are going to order pizzas and beer and coca cola and everyone is going to have a blast as we are all baseball fanatics. ,I stated that we are going to order food in.  I know exactly what we are going to order as I will be paying for it and I know what my family likes best.,zQ780482,1309,d
Meeting up with friends to play card games for most of sunday,"We have agreed to meet at a friends house this Sunday and 12, noon, to play card games, our favourite is cards against humanity which we have met up and played many times before","There is 6 of us in total, me, Jacob, Dan, Aimee, Rachel and Chelsea, we play these types of games very often and plan to meet on Sunday to have more games",cF931198,1310,d
Cycling 6 miles every day as part of a fitness effort,"I'm going to cycle 6 miles every day on my exercise bike in my spare bedroom, as part of a keep-fit push.","I have an exercise bike in my spare bedroom, I have done similar exercises before such as cycling 50 miles in a fortnight, I even made a chart to keep count/track how far I had gone, how far I had left to go. I find it motivating to see the number of miles add up over time.",Ye793044,1311,d
Attending a comedy festival with my partner Matt.,"Matt and I booked tickets to this festival in London a few months ago. I've been looking forward to it, since some of my favorite comics will be performing, including Chelsea Peretti and John Mulaney. We're both very excited since this is going to be our first time off from work in the last month and a half or so.","I can tell you that the festival is taking place in London this weekend, and that we've taken time off work to attend it together. Additionally, we've both been watching comedy specials of the featured artists over the last couple of week to decide who we want to see the most.",bc844370,1312,d
I am going to Reading to perform in a stage show that I recently wrote with a friend.. ,"When I was at University I made a friend in my Film & Drama class, and we've kept in touch for the last 20 years. Recently we fulfilled an idea we had to write a short play together, and unbelievably it's been accepted for a drama festival in Reading. I'm really nervous because I never intended to be actually performing it, but thankfully its quite a small venue with only 100 people in the audience. But I still don't want to make a fool of myself and make them regret the spending £15 on a ticket.",I did study Film & Drama at University and I currently work as a writer.,LV629530,1313,d
going to see a new installation in a museum in Edinburgh,I am going to view a new installation at the museum about the history of Scotland with a friend who moved to Edinburgh for university. ,I have packed my bag and I am about to purchase my train ticket online,sK922165,1314,d
I am going to be watching a baseball match with my family on friday evening,I am going to London Stadium with my family on friday night. We will watch the game at the stadium and eat a meal before the game starts then have some snacks and drinks whilst watching the game. The game starts at 7pm and should finish at 10pm. ,We will be travelling up by car from our home in cornwall to stay with my sister in worthing the night before. On the day in the afternoon we will get the train from worthing to brighton then on to London. Once there we will take the tube to the stadium. We will take the tube to get there by going on the central and jubilee lines. We are likely to eat an ice cream along with sweets and a drink ,Qq129898,1315,d
I´m going on a theatre trip to Bristol,"Next week as its been planned for a while, we are finally going to Bristol to see the musical play we've been dying to. We even booked the closest hotel to the theatre to enjoy the entire long weekend.",We booked the entire weekend at the Bristol Hampton. Is has great reviews.,SQ648542,1316,d
Attending a social 5 mile run event and then a bbq with friends,I will be taking part in a 5 mile run for fun and then having a bbq with some friends afterwards. ,The run is going to take place on Saturday morning just before lunchtime and some of the friends who are not participating in the run will be the BBQ for lunch. ,sE064578,1317,d
I'll be bringing my grandmother lunch next Tuesday after I get back from travelling,I'll get back from travelling on Monday evening. On Tuesday I'll bring my grandmother lunch and a few presents I got from my recent trip to the states,On Tuesday I'll cook up some lasagne at home and take it to St Marys hospice in Surrey where my grandmother lives. Usually takes me about an hour to drive there from my home in Southampton ,Wa373235,1318,d
Fishing with my friend Mike,"Since Mike will be coming down from New York after a long time, he and I decided to catch up on a fishing trip. As kids, our fathers used to take us on these trips and it's a very nostalgic memory for the both of us. He's going to drive down on Thursday, catch dinner with me at Granny's and we will take my truck to drive down to the creek. Early dawn is the best time for fishing.","It's a childhood memory we both hold dear to us. Our fathers taught us how to attach the bobbers and hook worms onto the fishing lines. Since Mike hasn't been back to our town in a long while, it's going to be a good chance to catch up near the creek. He's been dealing with some family issues that he needs advice on. It's probably a chance to help him clear his head, away from the city.",Qh751791,1319,d
Playing a basketball game with friends,"On Saturday I am meeting with some old school friends at the local leisure centre to play a game of basketball. We do this every year. We split into two teams (boys vs girls) and we play a game of basketball. It can be quite competitive. Once the game is over, the losing team has to buy the winning team dinner, so we go for a meal afterwards to celebrate. It can be quite competitive!",You could contact any of my friends who I would be playing with and they could confirm I am telling the truth. You could also call the leisure centre and would see that we have booked the basketball court for 1pm on Saturday. You could also check the restaurant that we are going to for our meal afterwards to see our booking. This all backs up that I am telling the truth.,TF478223,1320,d
I will be taking my daughter to hospital for an eye operation. ,My daughter has been short sighted for some time and now she is finally have an operation to correct this. It will take two hours and she will stay in over night for observation. ,The hospital is Leighton in Crewe. They are well known for eye operations.  It’s a common procedure but should help her a lot going forward. ,xj899400,1321,d
Watch the British opening,I will be sat in the garden weather permitting with a few drinks and friends watching this from the tv in the conversatory,I watch every match where possible and if I don’t I record them so that I can watch them when I am free. I also buy tickets to watch it if I can get the time off work ,Hy095705,1322,d
Play darts with people from university,"I am going to meet up with some of my friends from University and go play a couple games of darts with them,  and maybe hang out after, too.","I even reassured that I was going to do stuff after, as well as fully tell what I was doing.",TQ968461,1323,d
attending a beer festival with my family and friends,"My family love to drink beer. This has been a driving force to always look out for any events or activities that involves drinking beer especially a free one. So, we all be heading to a beer festival organized by the local community at a camping site for the next 7 days. Can't wait to get started.","The organizers; our local group community, the location; Heaton park in Manchester. ",xb717787,1324,d
Playing a basketball game with friends,"This weekend I will be playing a basketball game with a group of school friends at my local park. We do this once a month, as we all love to keep fit and it is a great way for us to catch up.","My friends and I used to be in a basketball team when we were at school together, so to continue the tradition we decided several years ago, after we all finished university, that we should meet up every month to play. We all loved playing basketball at school and being part of a team, so we thought it would be a good idea for us to do this one weekend every month to keep fit and to have a catch up, as we don't see each other as much as we used to back in the day. We play at my local park, which has several basketball courts, as well as tennis courts and football and rugby fields. We meet here because it's the half way point for most people (apart from me, obviously!) and because it is one of the only places nearby where we can play basketball for free and in a beautiful setting in the heart of town.",Cz771940,1325,d
"On Saturday at 11.30 am I am visiting my best friend Richard in York. It's just a day tip though, I should be home for 8","Richard just moved to York for work a few months ago, and this will be the first time I've visited him, and the first time I will have been to York. Unfortunately I couldn't get any holidays in work, so it's just a day trip. Richard's going to show me his new flat, and the city centre, and take me to a Mexican restaurant he loves.","I have booked a return trip on the train to York on Saturday, from Glasgow (where I'm from).",Gz060540,1326,d
"Well,  I have the pleasure of going on a lama walk, then I will go for a sparkling  afternoon tea.",I have the pleasure of going on a lama walk which entails me taking a trek with one of the most peaceful animals in the world in a beautiful countryside surrounding. This will be followed by a delicious afternoon tea.,"The lama walk takes place in beautiful countryside of Northamptonshire. Lunch includes salmon sandwiches, scones,  fresh clotted cream and jam.",qa632737,1327,d
